Approach,Indicator,Value_Percent,SE
PS+SS (Usual Status),LFPR,59.6182047210237,0.167587641800403
PS+SS (Usual Status),WPR,57.7052339754486,0.172597871579817
PS+SS (Usual Status),UR,3.20870236620957,0.0714401163576893
CWS (Current Weekly),LFPR,55.1937449723732,0.167652865897389
CWS (Current Weekly),WPR,52.448084342173,0.173753305810845
CWS (Current Weekly),UR,4.97458657964695,0.0961292849418678
